<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/09/2018,103750,103900,103680,103900
10/09/2018,103840,104120,103840,104120
10/09/2018,104030,104030,103970,103970
10/09/2018,103980,104000,103980,104000
10/09/2018,104010,104220,104010,104220
10/09/2018,104150,104150,104050,104050
10/09/2018,104160,104200,104160,104200
10/09/2018,104200,104250,104190,104230
10/09/2018,104200,104200,104140,104140
10/09/2018,104150,104290,104150,104220
10/09/2018,104210,104210,104150,104150
10/09/2018,104190,104220,104190,104200
10/09/2018,104150,104150,104130,104130
10/09/2018,104120,104120,104060,104060
10/09/2018,104140,104150,104100,104120
10/09/2018,104150,104150,104060,104060
10/09/2018,104060,104120,104040,104120
10/09/2018,104100,104120,104090,104110
10/09/2018,104140,104140,104090,104120
10/09/2018,104070,104070,104070,104070
10/09/2018,104100,104130,104100,104100
10/09/2018,104050,104080,104040,104080
10/09/2018,104050,104100,104050,104100
10/09/2018,104120,104170,104120,104160
10/09/2018,104160,104160,104160,104160
10/09/2018,104080,104170,104040,104050
10/09/2018,104070,104100,104070,104070
10/09/2018,104140,104160,104120,104160
10/09/2018,104200,104200,104200,104200
10/09/2018,104210,104210,104180,104180
10/09/2018,104110,104140,104050,104140
10/09/2018,104170,104200,104130,104130
10/09/2018,104150,104160,104140,104150
10/09/2018,104090,104110,104040,104040
10/09/2018,104130,104150,104130,104150
10/09/2018,104130,104130,104130,104130
10/09/2018,104160,104180,104160,104180
10/09/2018,104190,104200,104060,104060
10/09/2018,104060,104130,104030,104130
10/09/2018,104130,104130,104050,104050
10/09/2018,104030,104100,104030,104100
10/09/2018,104160,104160,104110,104110
10/09/2018,104130,104130,104130,104130
10/09/2018,104080,104080,104050,104050
10/09/2018,104100,104110,104100,104110
10/09/2018,104090,104130,104080,104110
10/09/2018,104130,104130,104060,104090
10/09/2018,104060,104070,104000,104060
10/09/2018,104030,104030,103900,103900
10/09/2018,103950,103960,103900,103930
10/09/2018,103960,103960,103950,103950
10/09/2018,103980,103980,103980,103980
10/09/2018,103970,103970,103970,103970
10/09/2018,104020,104020,104000,104000
10/09/2018,103970,104000,103970,103980
10/09/2018,103970,104050,103970,104050
10/09/2018,104060,104080,104060,104080
10/09/2018,104050,104060,104050,104060
10/09/2018,104000,104020,104000,104020
10/09/2018,104000,104000,104000,104000
10/09/2018,103980,103980,103960,103960
10/09/2018,104000,104000,104000,104000
10/09/2018,104030,104060,104030,104060
10/09/2018,104070,104070,104070,104070
10/09/2018,104010,104040,103930,103940
10/09/2018,103930,103950,103930,103940
10/09/2018,103950,103950,103950,103950
10/09/2018,103910,103910,103910,103910
10/09/2018,103900,103900,103840,103840
10/09/2018,103810,103830,103750,103760
10/09/2018,103770,103780,103720,103750
10/09/2018,103780,103780,103780,103780
10/09/2018,103750,103800,103750,103800
10/09/2018,103780,103780,103750,103750
10/09/2018,103740,103750,103740,103750
10/09/2018,103740,103830,103740,103800
10/09/2018,103790,103790,103790,103790
10/09/2018,103780,103790,103780,103780
10/09/2018,103780,103780,103780,103780
10/09/2018,103790,103790,103790,103790
10/09/2018,103790,103800,103710,103710
10/09/2018,103720,103720,103690,103690
10/09/2018,103700,103700,103700,103700
10/09/2018,103780,103780,103780,103780
10/09/2018,103800,103800,103800,103800
10/09/2018,103750,103750,103750,103750
10/09/2018,103730,103730,103730,103730
10/09/2018,103750,103780,103750,103750
10/09/2018,103800,103810,103790,103810
10/09/2018,103830,103860,103830,103840
10/09/2018,103800,103830,103800,103830
10/09/2018,103800,103800,103800,103800
10/09/2018,103850,103960,103850,103960
10/09/2018,103940,103940,103900,103900
10/09/2018,103930,103940,103930,103940
10/09/2018,103920,103920,103920,103920
10/09/2018,103900,103900,103900,103900
10/09/2018,103850,103850,103830,103830
10/09/2018,103830,103830,103830,103830
10/09/2018,103880,103890,103880,103890
10/09/2018,103950,103980,103930,103970
10/09/2018,103890,103920,103890,103920
10/09/2018,103970,103970,103970,103970
10/09/2018,103930,103930,103930,103930
10/09/2018,103900,103900,103900,103900
10/09/2018,103960,103960,103960,103960
10/09/2018,103940,103950,103920,103920
10/09/2018,103900,103900,103900,103900
10/09/2018,103860,103860,103860,103860
10/09/2018,103850,103850,103820,103820
10/09/2018,103840,103840,103840,103840
10/09/2018,103870,103900,103870,103900
10/09/2018,103890,103890,103890,103890
10/09/2018,103890,103890,103890,103890
10/09/2018,103830,103830,103820,103820
10/09/2018,103800,103830,103800,103810
10/09/2018,103830,103830,103830,103830
10/09/2018,103840,103840,103840,103840
10/09/2018,103860,103860,103840,103860
