i,x,y
1,3.1459,9.6212
2,3.5190,8.0740
3,3.8066,9.3958
4,4.1410,9.2497
5,4.8160,10.6643
6,5.1013,11.1626
7,5.9620,12.1295
8,5.9905,12.0005
9,6.3571,11.6841
10,7.0485,14.6447
11,7.1278,14.0197
12,7.3035,13.0950
13,7.8253,13.9850
14,8.2590,14.9811
15,8.7930,14.1674
16,9.2452,15.3151
17,9.6993,16.5765
18,9.8976,16.4960
19,10.6710,17.3548
20,11.0971,18.0017
21,11.3206,17.3035
22,11.5266,18.6928
23,12.1596,19.9967
24,12.3469,21.2865
25,13.3093,20.4754
26,13.4333,20.6424
27,14.0811,21.4819
28,14.6053,21.9433
29,14.7932,22.2009
30,15.1163,23.7629
