i,x,y
1,1.000000,45.000000
2,2.000000,65.000000
3,2.000000,9.000000
4,2.000000,15.000000
5,2.000000,35.000000
6,2.000000,18.000000
7,2.000000,15.000000
8,2.000000,35.000000
9,2.000000,35.000000
10,2.000000,65.000000
11,2.000000,80.000000
12,2.000000,45.000000
13,3.000000,95.000000
14,4.000000,65.000000
15,4.000000,125.000000
16,4.000000,95.000000
17,4.000000,45.000000
18,4.000000,65.000000
19,4.000000,65.000000
20,4.000000,100.000000
21,4.000000,45.000000
22,4.000000,65.000000
23,4.000000,65.000000
24,4.000000,65.000000
25,4.000000,15.000000
26,4.000000,65.000000
27,4.000000,19.000000
28,4.000000,95.000000
29,4.000000,45.000000
30,4.000000,95.000000
31,4.000000,25.000000
32,4.000000,35.000000
33,4.000000,15.000000
34,6.000000,95.000000
35,6.000000,54.000000
36,6.000000,95.000000
37,6.000000,125.000000
38,6.000000,125.000000
39,6.000000,95.000000
40,8.000000,125.000000
41,8.000000,32.000000
42,8.000000,125.000000
43,8.000000,125.000000
44,8.000000,54.000000
45,8.000000,65.000000
46,8.000000,95.000000
47,8.000000,65.000000
48,8.000000,65.000000
49,12.000000,115.000000
50,14.000000,180.000000
51,16.000000,180.000000
52,16.000000,115.000000
53,16.000000,170.000000
54,16.000000,115.000000
55,24.000000,180.000000
56,24.000000,170.000000
57,32.000000,155.000000
58,32.000000,280.000000
59,48.000000,280.000000
60,64.000000,280.000000
