<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;210104;000000;274.67;276.6;270.61;272;48799460
SBER;D;210105;000000;272.67;275.7;270.28;275.2;45554100
SBER;D;210106;000000;275.9;275.92;271.62;272.93;40905340
SBER;D;210108;000000;275.11;283.99;275.11;283.64;88672940
SBER;D;210111;000000;282.75;292.95;279.48;289.49;112210400
SBER;D;210112;000000;290.5;296.07;286.7;289.99;78890100
SBER;D;210113;000000;291.01;292.46;283.1;283.78;67489780
SBER;D;210114;000000;284;286.9;279.06;284.79;74616910
SBER;D;210115;000000;282.55;286.16;276;276.9;73687110
SBER;D;210118;000000;275.73;281.3;272.95;279.79;73676310
SBER;D;210119;000000;280.98;282.8;276.42;278.19;55682850
SBER;D;210120;000000;278.63;282.49;276.77;279.8;47858610
SBER;D;210121;000000;280.78;281.54;272.84;274.4;83765230
SBER;D;210122;000000;273;273.3;266.78;268.25;86899970
SBER;D;210125;000000;270.54;273.63;261.65;265.3;114068450
SBER;D;210126;000000;262.9;269.57;262.61;269.34;75094890
SBER;D;210127;000000;270.07;273.8;265.02;265.5;100046360
SBER;D;210128;000000;263.5;267.17;261.17;265.96;81088040
SBER;D;210129;000000;263.92;264.75;257.36;258.11;120025230
SBER;D;210201;000000;260;264.06;258.73;263.8;63050800
SBER;D;210202;000000;265;268.39;263.05;263.15;79360220
SBER;D;210203;000000;264.25;268.14;261.05;263.53;77585700
SBER;D;210204;000000;263.21;270.6;262.34;270.11;78873410
SBER;D;210205;000000;271.99;272.57;268.87;271.7;71697410
SBER;D;210208;000000;273.01;275.58;272.32;275.2;51720410
SBER;D;210209;000000;275.99;276.29;267.19;268.98;91773840
SBER;D;210210;000000;269.28;270.99;265.2;265.9;63033470
SBER;D;210211;000000;265.49;266.9;263.75;264.7;38615960
SBER;D;210212;000000;263.99;266.44;258.55;266;81585980
SBER;D;210215;000000;268.49;271.87;267.07;271.81;56766380
SBER;D;210216;000000;272.31;272.8;268.27;270.9;62992920
SBER;D;210217;000000;270.92;275.07;267.56;270.9;79087080
